#F f1f2_Chantler.dat
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#C  This file has been created using extract_Chantler-NIST-FFAST.pl on Mon Jun 28 17:10:31 2021
#C  It is a part of X-ray Server, https://x-server.gmca.aps.anl.gov
#UD 
#UD The scattering values in this file have been obtained from:
#UD https://github.com/usnistgov/FFAST.jl/tree/master/data/mac[NN].csv
#UD and a WWW interface to these data is at:
#UD https://physics.nist.gov/PhysRefData/FFast/html/form.html
#UD 
#UD Reference
#UD   [1] C.T. Chantler, J. Phys. Chem. Ref. Data 29(4), 597-1048 (2000).
#UD   "Detailed Tabulation of Atomic Form Factors, Photoelectric Absorption
#UD   and Scattering Cross Section, and Mass Attenuation Coefficients in the
#UD   Vicinity of Absorption Edges in the Soft X-Ray (Z = 30-36, Z = 60-89,
#UD   E = 0.1 keV-10 keV), Addressing Convergence Issues of Earlier Work."
#UD   
#UD   [2] C.T. Chantler, J. Phys. Chem. Ref. Data 24, 71 (1995). 
#UD   "Theoretical Form Factor, Attenuation and Scattering Tabulation for 
#UD   Z=1-92 from E=1-10 eV to E=0.4-1.0 MeV."
#S 1  H
#UB -0.9999
#UF1ADD 0.0
#L PhotonEnergy[eV]  f1  f2
#UO  H, Z=1, (Energy (eV),f1,f2)
   1067.67600   3.04576         0.029934     
   1141.34500   3.04136         0.025916     
   1220.09800   3.03729         0.022438     
   1304.28500   3.03355         0.019426     
   1394.28100   3.03015         0.016819     
   1490.48600   3.02705         0.014561     
   1593.32900   3.02425         0.012607     
   1703.26900   3.02172         0.010915     
   1820.79500   3.01943         0.0094497    
   1946.43000   3.01738         0.0081814    
   2080.73300   3.01553         0.0070833    
   2224.30400   3.01387         0.0061326    
   2377.78100   3.01238         0.0053094    
   2541.84800   3.01105         0.0045965    
   2717.23500   3.00986         0.0039792    
   2904.72400   3.00881         0.0034448    
   3105.15000   3.00786         0.0029684    
   3319.40600   3.00699         0.0025468    
   3548.44500   3.00621         0.0021851    
   3793.28800   3.00552         0.0018748    
   4055.02400   3.0049          0.0016085    
   4334.82100   3.00435         0.0013801    
   4633.92400   3.00385         0.0011841    
   4953.66400   3.00341         0.0010159    
   5295.46700   3.00302         0.00087162   
   5660.85500   3.00268         0.00074783   
   6051.45300   3.00237         0.00064162   
   6469.00400   3.0021          0.0005505    
   6915.36500   3.00186         0.00047232   
   7392.52500   3.00164         0.00040524   
   7902.60900   3.00145         0.00034768   
   8447.89000   3.00128         0.00029831   
   9030.79400   3.00113         0.00025574   
   9653.91900   3.001           0.00021863   
  10320.04000   3.00088         0.00018691   
  11032.12000   3.00078         0.00015979   
  11793.34000   3.00069         0.00013661   
  12607.08000   3.00061         0.00011679   
  13476.97000   3.00053         9.9841e-05   
  14406.88000   3.00047         8.5355e-05   
  15400.95000   3.00042         7.2971e-05   
  16463.62000   3.00037         6.2383e-05   
  17599.61000   3.00032         5.3332e-05   
  18813.98000   3.00028         4.5594e-05   
  20112.15000   3.00025         3.8979e-05   
  21499.88000   3.00022         3.3323e-05   
  22983.38000   3.00019         2.8488e-05   
  24569.23000   3.00017         2.4355e-05   
  26264.50000   3.00015         2.0857e-05   
  28076.76000   3.00013         1.7837e-05   
  30014.05000   3.00012         1.5245e-05   
  32085.02000   3.0001          1.303e-05    
  34298.89000   3.00009         1.1137e-05   
  36665.51000   3.00008         9.5189e-06   
  39195.43000   3.00007         8.1358e-06   
  41899.92000   3.00006         6.9538e-06   
  44791.01000   3.00005         5.9434e-06   
  47881.59000   3.00005         5.0799e-06   
  51185.42000   3.00004         4.3418e-06   
  54717.21000   3.00004         3.711e-06    
  58492.70000   3.00003         3.1718e-06   
  62528.70000   3.00003         2.711e-06    
  66843.18000   3.00002         2.3171e-06   
  71455.36000   3.00002         1.9805e-06   
  76385.78000   3.00002         1.6927e-06   
  81656.40000   3.00002         1.4468e-06   
  87290.69000   3.00001         1.2366e-06   
  93313.74000   3.00001         1.0569e-06   
  99752.39000   3.00001         9.0339e-07   
 106635.30000   3.00001         7.7214e-07   
 113993.10000   3.00001         6.5996e-07   
 121858.70000   3.00001         5.6408e-07   
 130266.90000   3.00001         4.8213e-07   
 139255.30000   3.00001         4.1209e-07   
 148864.00000   3.00001         3.5222e-07   
 159135.60000   3               3.0105e-07   
 170115.90000   3               2.5732e-07   
 181853.90000   3               2.1993e-07   
 194401.80000   3               1.8798e-07   
 207815.60000   3               1.6067e-07   
 222154.80000   3               1.3733e-07   
 237483.50000   3               1.1738e-07   
 253869.90000   3               1.0033e-07   
 271386.90000   3               8.5755e-08   
 290112.60000   3               7.3297e-08   
 310130.40000   3               6.2649e-08   
 331529.40000   3               5.3548e-08   
 354404.90000   3               4.577e-08    
 378858.80000   3               3.9121e-08   
 405000.10000   3               3.3438e-08   
 432945.10000   3               2.8581e-08   
#S 4  Be
#UB -0.9999
#UF1ADD 0.0
#L PhotonEnergy[eV]  f1  f2
#UO  Be, Z=4, (Energy (eV),f1,f2)
      8.25160   1.55864         -0.9999      
      8.37790   1.50947         -0.9999      
      8.41158   1.45794         -0.9999      
      8.46210   1.50266         0.097318     
      8.58840   1.53756         0.10286      
     10.69000   1.5848          0.21247      
     11.42761   1.60258         0.24694      
     12.21612   1.62546         0.2787       
     13.05903   1.65269         0.3066       
     13.96010   1.68318         0.32988      
     14.92335   1.71575         0.3482       
     15.95306   1.74924         0.36151      
     17.05382   1.78263         0.37006      
     18.23053   1.81506         0.37426      
     19.48844   1.84585         0.37463      
     20.83314   1.87451         0.37173      
     22.27063   1.90068         0.36615      
     23.80730   1.92412         0.35841      
     25.45001   1.94468         0.349        
     27.20606   1.9623          0.33833      
     29.08327   1.97692         0.32677      
     31.09002   1.9885          0.31461      
     33.23523   1.997           0.30208      
     35.52846   2.00234         0.28933      
     37.97993   2.00432         0.27642      
     40.60054   2.00267         0.26351      
     43.40198   1.99706         0.2507       
     46.39671   1.98704         0.23807      
     49.59809   1.97202         0.22569      
     53.02035   1.9512          0.2136       
     56.67876   1.92346         0.20184      
     60.58959   1.88729         0.19044      
     64.77028   1.84054         0.17941      
     69.23942   1.78009         0.16876      
     74.01695   1.70124         0.15851      
     79.12411   1.59647         0.14865      
     84.58368   1.4529          0.13921      
